gen,worse,avg,best
0,822.0026041666666,957.771764952093,1086.752808988764
1,837.0029411764706,981.1733531233963,1086.752808988764
10,1048.5030120481927,1064.389706518586,1086.752808988764
100,1083.0027777777777,1125.4909856858715,1128.7529761904761
101,1083.0027777777777,1125.4909856858715,1128.7529761904761
102,1083.0027777777777,1125.4909856858715,1128.7529761904761
103,1083.0027777777777,1125.4909856858715,1128.7529761904761
104,1083.0027777777777,1126.4260873061469,1128.7529761904761
105,1089.0026315789473,1126.432087159948,1128.7529761904761
106,1089.0026315789473,1126.432087159948,1128.7529761904761
107,1089.0026315789473,1127.007777671115,1128.7529761904761
108,1089.0026315789473,1127.007777671115,1128.7529761904761
109,1089.0026315789473,1127.007777671115,1128.7529761904761
11,1048.5030120481927,1064.884172954697,1086.752808988764
110,1089.0026315789473,1127.007777671115,1128.7529761904761
111,1089.0026315789473,1127.007777671115,1128.7529761904761
112,1089.0026315789473,1127.007777671115,1128.7529761904761
113,1089.0026315789473,1127.0080026392175,1128.7529761904761
114,1089.0026315789473,1127.0080026392175,1128.7529761904761
115,1089.0026315789473,1127.0080026392175,1128.7529761904761
116,1089.0026315789473,1127.0080026392175,1128.7529761904761
117,1089.0026315789473,1127.0080026392175,1128.7529761904761
118,1089.0026315789473,1127.0080026392175,1128.7529761904761
119,1089.0026315789473,1127.0080026392175,1128.7529761904761
12,1048.5030120481927,1064.9863989932282,1086.752808988764
120,1089.0026315789473,1127.0080026392175,1128.7529761904761
121,1089.0026315789473,1127.0080026392175,1128.7529761904761
122,1089.0026315789473,1127.0080026392175,1128.7529761904761
123,1089.0026315789473,1127.0080026392175,1128.7529761904761
124,1089.0026315789473,1127.0080026392175,1128.7529761904761
125,1089.0026315789473,1127.0080026392175,1128.7529761904761
126,1096.5027173913043,1127.119151762873,1128.7529761904761
127,1096.5027173913043,1127.119151762873,1128.7529761904761
128,1096.5027173913043,1127.119151762873,1128.7529761904761
129,1096.5027173913043,1127.119151762873,1128.7529761904761
13,1048.5030120481927,1087.2010137161772,1104.003125
130,1096.5027173913043,1127.119151762873,1128.7529761904761
